relation,id
rel.org.org-per.architect,R1020034
rel.org.org-per.associatedWith,R1020035
rel.org.org-per.associatedWith.musicalArtist,R1020036
rel.org.org-per.captain,R1020037
rel.org.org-per.chairperson,R1020038
rel.org.org-per.chief,R1020039
rel.org.org-per.chief.chiefExecutive,R10200310
rel.org.org-per.chief.chiefExecutiveOfficer,R10200311
rel.org.org-per.coach,R10200312
rel.org.org-per.coach.assistantCoach,R10200313
rel.org.org-per.coach.headCoach,R10200314
rel.org.org-per.coach.womanCoach,R10200315
rel.org.org-per.conductor,R10200316
rel.org.org-per.conductor.ChiefConductor,R10200317
rel.org.org-per.creator,R10200318
rel.org.org-per.crewMember,R10200319
rel.org.org-per.director,R10200320
rel.org.org-per.director.boardOfDirectors,R10200321
rel.org.org-per.director.musicDirector,R10200322
rel.org.org-per.editor,R10200323
rel.org.org-per.editor.associateEditor,R10200324
rel.org.org-per.editor.campusEditor,R10200325
rel.org.org-per.editor.chiefEditor,R10200326
rel.org.org-per.editor.deputyEditor,R10200327
rel.org.org-per.editor.managingEditor,R10200328
rel.org.org-per.editor.managingEditor.managingEditorDesign,R10200329
rel.org.org-per.editor.metroEditor,R10200330
rel.org.org-per.editor.newsEditor,R10200331
rel.org.org-per.editor.opinionEditor,R10200332
rel.org.org-per.editor.photoEditor,R10200333
rel.org.org-per.editor.sportsEditor,R10200334
rel.org.org-per.flagBearer,R10200335
rel.org.org-per.founder,R10200336
rel.org.org-per.head,R10200337
rel.org.org-per.head.currentHead,R10200338
rel.org.org-per.head.finalHead,R10200339
rel.org.org-per.head.finalRuler,R10200340
rel.org.org-per.influencedBy,R10200341
rel.org.org-per.investor,R10200342
rel.org.org-per.leader,R10200343
rel.org.org-per.manager,R10200344
rel.org.org-per.manager.generalManager,R10200345
rel.org.org-per.manager.teamManager,R10200346
rel.org.org-per.member,R10200347
rel.org.org-per.member.bandMember,R10200348
rel.org.org-per.member.bandMember.formerBandMember,R10200349
rel.org.org-per.member.boardMember,R10200350
rel.org.org-per.member.connectedMember,R10200351
rel.org.org-per.member.currentMember,R10200352
rel.org.org-per.member.formerMember,R10200353
rel.org.org-per.mostCaps,R10200354
rel.org.org-per.musicalConductor,R10200355
rel.org.org-per.namedAfter,R10200356
rel.org.org-per.officeholder,R10200357
rel.org.org-per.officeholder.chairman,R10200358
rel.org.org-per.officeholder.chancellor,R10200359
rel.org.org-per.officeholder.chiefJudge,R10200360
rel.org.org-per.officeholder.commander,R10200361
rel.org.org-per.officeholder.commander.notableCommander,R10200362
rel.org.org-per.officeholder.commander.secondCommander,R10200363
rel.org.org-per.officeholder.commander.commanderInChief,R10200364
rel.org.org-per.officeholder.dean,R10200365
rel.org.org-per.officeholder.minister,R10200366
rel.org.org-per.officeholder.president,R10200367
rel.org.org-per.officeholder.principal,R10200368
rel.org.org-per.officeholder.secretaryGeneral,R10200369
rel.org.org-per.officeholder.viceChancellor,R10200370
rel.org.org-per.officeholder.vicePresident,R10200371
rel.org.org-per.owner,R10200372
rel.org.org-per.owner.currentOwner,R10200373
rel.org.org-per.owner.previousOwner,R10200374
rel.org.org-per.participant,R10200375
rel.org.org-per.patron,R10200376
rel.org.org-per.patron.patronSaint,R10200377
rel.org.org-per.patron.schoolPatron,R10200378
rel.org.org-per.people,R10200379
rel.org.org-per.people.keyPeople,R10200380
rel.org.org-per.performer,R10200381
rel.org.org-per.producer,R10200382
rel.org.org-per.rector,R10200383
rel.org.org-per.secretary,R10200384
rel.org.org-per.secretary.firstSecretary,R10200385
rel.org.org-per.signatory,R10200386
rel.org.org-per.spokesperson,R10200387
rel.org.org-per.sponsor,R10200388
rel.org.org-per.student,R10200389
rel.org.org-per.superintendent,R10200390
rel.org.org-per.topScorer,R10200391
rel.per,R103
rel.per.per-loc,R103001
